"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Trevor Larnach","MIN","51","180","5","22","18","0","10.0%","31.7%",".175",".320",".231",".306",".406",".309",".322","104","0.6","1.3","4.0","1.1","21501"
"Gary Sanchez","MIN","94","349","12","33","44","2","7.7%","27.8%",".177",".268",".215",".284",".392",".296",".329","95","-2.4","-4.5","4.4","1.1","11442"
"Ryan Mountcastle","BAL","111","471","18","51","65","4","6.2%","25.5%",".179",".295",".246",".293",".425",".310",".347","104","1.1","3.0","-6.9","1.1","18373"
"Seth Brown","OAK","117","422","17","38","50","8","8.1%","25.4%",".198",".257",".219",".287",".417",".305",".332","105","2.0","4.2","-6.7","1.1","18171"
"Joey Bart","SFG","73","227","10","26","21","2","9.3%","37.0%",".173",".333",".228",".313",".401",".316",".311","104","-1.4","-0.3","3.2","1.1","21524"
"Jose Miranda","MIN","88","330","13","31","55","1","4.2%","21.2%",".175",".313",".272",".315",".447",".332",".305","120","-1.6","5.6","-5.3","1.1","20538"
"Omar Narvaez","MIL","63","226","4","17","18","0","10.2%","20.4%",".121",".273",".226",".314",".347",".295",".275","87","-0.6","-4.0","6.9","1.1","13338"
"Jonathan Schoop","DET","115","447","9","40","34","5","3.4%","22.1%",".115",".241",".202",".235",".318",".241",".267","55","0.0","-22.8","19.2","1.1","11265"
"Brandon Lowe","TBR","61","251","8","31","25","1","10.0%","22.7%",".171",".278",".234",".319",".405",".319",".328","114","1.8","5.8","-3.4","1.1","18882"
"Seiya Suzuki","CHC","87","349","10","39","39","8","9.5%","24.9%",".168",".315",".252",".327",".419",".324",".316","107","-0.5","2.5","-4.2","1.1","30116"
"Kevin Kiermaier","TBR","63","221","7","28","22","6","6.3%","27.6%",".141",".290",".228",".281",".369",".286",".305","91","3.2","1.0","2.3","1.1","11038"
"Albert Pujols","STL","77","245","14","26","38","1","7.8%","16.3%",".247",".273",".274",".347",".521",".371",".359","143","-5.3","7.0","-5.1","1.1","1177"
"Ryan Jeffers","MIN","60","214","7","23","25","0","9.8%","27.1%",".161",".268",".214",".291",".375",".295",".326","94","-0.9","-2.4","5.9","1.1","24618"
"Michael A. Taylor","KCR","98","355","6","37","31","2","8.5%","25.4%",".091",".336",".256",".322",".347",".299",".291","92","0.8","-2.5","1.5","1.0","11489"
"Donovan Solano","CIN","51","198","3","20","21","0","6.1%","19.7%",".117",".407",".333",".384",".450",".365",".336","129","-0.2","6.4","-3.2","1.0","8623"
"Ozzie Albies","ATL","62","263","8","34","33","3","5.7%","17.5%",".161",".266",".244",".289",".405",".301",".299","89","1.3","-2.1","3.1","1.0","16556"
"Emmanuel Rivera","- - -","81","287","11","38","33","0","7.0%","21.3%",".198",".279",".244",".310",".443",".328",".333","110","-1.2","2.4","-1.7","1.0","19890"
"Aaron Hicks","NYY","105","372","6","41","32","9","14.5%","22.3%",".086",".271",".214",".334",".300",".291",".300","90","1.0","-3.2","1.3","1.0","5297"
"Reese McGuire","- - -","67","210","0","16","14","0","3.3%","19.5%",".063",".331",".266",".294",".328",".274",".262","75","-0.9","-6.8","9.8","1.0","15674"
"Garrett Cooper","MIA","96","375","7","28","42","0","8.5%","25.6%",".142",".345",".264",".339",".406",".328",".343","113","-2.1","3.5","-6.7","1.0","15279"
"Jose Siri","- - -","71","224","4","36","15","10","5.8%","35.7%",".126",".290",".193",".250",".319",".252",".257","64","3.9","-5.2","7.8","1.0","17452"
